5 10 100000
39130.68 77341.86 61484.36
79950.04 11941.82 77265.64
16149.50 64191.90 35696.03
43160.25 11821.07 47381.39
28884.34 48882.81 37564.04
75374.74 79272.91 50725.08
17680.93 86534.52 77686.94
66608.63 50261.39 28444.84
76234.86 68927.03 56452.16
7667.97 61293.58 33354.43
49895.00 28222.99 3513.56
27982.86 31514.76 69568.70
81021.93 72265.71 68849.89
56586.33 67559.00 71176.11
80512.64 80517.34 6170.12
55886.26 87540.46 36809.65
17509.37 51194.54 2526.09
89308.15 3047.54 61333.92
947.37 8796.50 50296.87
68056.59 34295.07 51316.85
64383.48 17782.20 41935.42
59377.84 77261.13 41801.26
44442.55 58681.35 8944.13
75129.77 69974.71 88584.17
10250.39 4609.36 2508.56
45545.58 71628.09 75640.63
5029.57 22338.26 20161.18
33831.39 76529.36 19013.63
36312.37 3550.05 11585.28
84369.11 12400.38 59515.78
28882.49 3971.20 67285.45
11157.41 57049.76 15313.69
51849.44 37463.46 35167.28
45253.73 70230.75 3764.34
42097.79 84951.65 54568.43
1578.41 5001.79 13775.27
50413.43 39967.58 47917.75
84309.12 74698.65 87340.71
26790.88 34179.42 23975.43
8278.20 46775.97 47971.19
72805.46 51597.82 80756.53
50333.42 58057.93 75814.86
37831.32 73358.97 56248.81
62551.20 35820.23 11558.85
56847.59 29906.16 49712.94
32955.09 13077.21 57809.68
6288.82 46876.97 13582.23
68837.91 15016.26 77503.15
58411.36 57687.77 83718.65
86744.16 23053.61 23693.63
9577.89 53059.67 86317.14
25545.92 67819.65 61762.64
75209.39 9262.54 51157.24
22443.34 10763.26 36901.64
47809.34 15673.85 8083.44
68326.58 67983.07 52104.76
86416.85 24284.40 2238.50
65576.79 77472.90 10288.83
7515.40 58731.13 53751.44
45363.96 80983.74 65760.61
61532.50 32068.38 59728.84
86003.35 3224.49 37750.80
37838.70 62800.89 10771.10
6462.24 87240.27 60839.67
50127.72 25049.14 75934.49
38640.97 47812.28 70762.53
86684.54 187.98 45121.41
75236.98 41081.11 25264.63
86720.38 66317.86 41884.02
53970.19 35434.75 14254.29
60045.65 79263.61 18695.13
87940.54 19563.05 77135.43
8247.38 74799.86 61769.16
37113.37 39502.81 586.68
82625.88 83945.14 70863.08
2768.51 9573.15 82292.55
4138.42 89574.05 44346.89
10591.16 21944.64 51504.86
11517.85 83516.43 35903.20
29753.21 89214.26 48039.44
54299.80 87106.43 24248.16
19302.13 30333.42 58510.02
72623.52 65595.19 42491.19
66377.87 12899.75 17842.74
9231.15 67253.20 32134.78
27101.36 67889.03 62719.81
25936.30 22740.09 26424.33
66128.39 87587.86 25910.95
79693.53 64230.05 9150.56
84530.54 14823.28 57100.79
46011.68 61814.65 62924.52
42601.35 57485.37 75135.40
23842.48 11260.95 9969.69
12958.60 13409.25 11019.22
36817.32 57377.50 87320.91
47234.03 54750.62 48453.52
45394.76 24194.82 30394.61
74527.44 84701.40 18910.68
30643.74 82854.47 39569.70
63912.16 66231.79 25478.09
82418.66 52367.77 41430.64
1981.91 58000.84 39025.48
42438.06 79593.03 48197.73
33810.60 39180.45 30658.10
17773.12 79711.74 47192.08
31534.42 8279.09 52643.16
8453.06 56848.72 86967.40
21964.95 68875.04 20447.93
16463.45 46361.11 40094.98
43428.54 65018.54 39812.98
9735.16 19767.48 24308.89
46862.65 45955.09 48330.49
44467.04 89544.46 13380.45
73599.28 3814.81 70984.94
51052.45 76191.36 82650.68
22352.10 2383.13 43155.02
27491.76 11599.66 48996.16
69773.20 89978.34 49230.76
47327.69 42025.69 75843.03
9438.76 69787.18 77418.05
66086.27 84712.64 32746.07
72222.89 28973.39 89971.95
86524.53 3584.62 46398.00
44078.45 18557.17 63861.34
77292.36 4120.60 88993.68
63119.21 9392.03 82052.72
